case,algorithm,hv_mean,hv_std,hv_min,hv_max,front_size_mean,front_size_std,runtime_mean_s,runtime_std_s,best_msr_mean,best_cgcc_mean,best_etr_mean
1b,ar_qiea,0.4712485662807507,0.009335146247411392,0.44923373783918685,0.48793826243388705,45.2,4.585484343738038,61.77860914000776,1.1753553695885552,0.9879260543038706,0.9999320870275925,0.48501116530196786
1b,mo_qiea,0.451905532728253,0.011784903412369707,0.4272709148089258,0.4789925199108944,35.666666666666664,7.599707596714202,55.191108216669335,1.6318650717482626,0.9846909300982092,0.9996919497842292,0.46687362371261143
1b,nsga2,0.39215872458209244,0.028339753315318173,0.3253782938909286,0.44008927820183447,15.566666666666666,7.25113018010909,16.3440584499971,1.2712269855595262,0.960947429231658,0.9969814933948629,0.41152314532143847
1b,random_front,0.2686364945843744,0.021319989254464808,0.23504942881762556,0.31835948689525595,24.733333333333334,5.046010525377669,9.86888930000132,0.24806298694735607,1.0,1.0,0.27743159082393914
1b,risk_shuffled_ar_qiea,0.45192857568038786,0.013026157891055172,0.41646372462703835,0.46939933690661495,35.8,6.029925372672534,59.53156719000156,1.3149192019414124,0.9874061236279608,0.9997038448898015,0.4658572284619347
4b,ar_qiea,0.738247808110521,0.002895131019407465,0.7318487370396999,0.7445789690493511,9.1,2.005824851110718,58.680733576675024,7.898334177831663,1.0,1.0,0.7433213524383349
4b,mo_qiea,0.7282841633279447,0.003187401454998412,0.7198434714917386,0.735138934280285,9.033333333333333,1.8526257642120338,56.79236585333322,9.97751187668606,1.0,1.0,0.7334838657393269
4b,nsga2,0.754082822580746,0.009440707756578383,0.7324573346879504,0.7687046415600198,6.366666666666666,1.87053171287976,18.30972202999595,1.7285819738207646,1.0,1.0,0.757746796848292
4b,random_front,0.9531982742274708,0.0017189238635241346,0.9495762525130285,0.9566519664369572,10.5,1.5864005379054391,5.959073686669581,1.362140041209006,1.0,1.0,0.9618620395126732
4b,risk_shuffled_ar_qiea,0.7276921320884284,0.002803098096241783,0.7219157099576404,0.7323034050512587,9.0,2.4765567494675613,58.60225869333178,4.61698303050138,1.0,1.0,0.732442193789516
14b,ar_qiea,0.3172994121486987,0.0219704336231695,0.2679509440706012,0.35658515320441325,11.0,5.477225575051661,72.28582998333538,1.6425579583647294,0.9363295880149812,0.9853004454596647,0.34533762110693333
14b,mo_qiea,0.13535515120138975,0.14535974786669031,0.0,0.3178696215314669,1.2,1.8147543451754933,67.85434770333619,1.603457945577832,0.43008739076154806,0.4581917563605966,0.1498094614745766
14b,nsga2,0.2774284907630667,0.09760452205648948,0.0,0.37572321991711594,16.166666666666668,11.966852366247172,37.18020161999933,1.0162511739873885,0.8366327804530052,0.8864309506133954,0.3035802542421581
14b,random_front,0.18252279258030907,0.014961371915935981,0.15315916390163828,0.218475005063938,24.833333333333332,5.027148518019159,30.756862443340165,0.48934582838220836,0.9967362225789193,0.9993081118225033,0.18961122737382485
14b,risk_shuffled_ar_qiea,0.1512354483503612,0.14251704771015952,0.0,0.3291365887772289,1.1333333333333333,1.3349989596333858,70.64810786333207,2.0599672067861254,0.4900303192438024,0.5237159608044512,0.16783720456471887
22b,ar_qiea,0.43512602611272666,0.006042273396709629,0.4256175563836031,0.4474959443204419,50.0,0.0,57.60845917333499,2.0855409602129344,0.9989441930618401,0.9998798354572265,0.4452864668423162
22b,mo_qiea,0.4294523695026795,0.007894429746845014,0.41516611917591967,0.44771360713727537,50.0,0.0,50.065063996669295,0.9573406669725797,0.998868778280543,0.9999134828600205,0.4392780750407747
22b,nsga2,0.3683953064649472,0.04503875884205733,0.23599682442971004,0.4324560377652886,16.866666666666667,5.981824322246703,14.25873206333102,1.1287759402286321,0.9883107088989442,0.9982023689247324,0.3776786149008336
22b,random_front,0.3158593025296365,0.024224775005433644,0.27871482523140295,0.37370760820976495,26.133333333333333,5.518051185780075,6.218655280006351,0.2266425741882586,1.0,1.0,0.32376521320928847
22b,risk_shuffled_ar_qiea,0.4281278881404183,0.0073533860579106086,0.4145892070562923,0.4412479734227681,50.0,0.0,52.940212236670774,0.8898228809679254,0.9986425339366516,0.9998287291576616,0.43783177528282663
